INDIV	Male	Female	FAM	Pop	WT1	WT2	WT3
52	8	1008	8-1008	1	15.7	15.4	16.8
53	36	10036	36-10036	1	15.2	15.2	16.7
54	14	10014	14-10014	1	16.6	16.2	17.0
55	11	10011	11-10011	1	13.7	14.2	14.7
56	8	1008	8-1008	1	18.2	18.0	18.6
57	14	10014	14-10014	1	17.1	17.0	18.0
58	21	10021	21-10021	1	13.4	17.0	15.4
59	61	10061	61-10061	1	15.2	17.8	17.2
60	4	1004	4-1004	1	16.2	16.3	17.5
61	8	1008	8-1008	1	15.5	16.0	15.8
62	8	1008	8-1008	1	15.0	15.3	16.0
63	232	10232	232-10232	1	15.5	15.5	15.7
64	30	10030	30-10030	1	14.0	14.3	14.8
65	21	10021	21-10021	1	15.5	15.6	17.1
66	21	10021	21-10021	1	15.5	16.2	17.1
67	11	10011	11-10011	1	14.1	15.0	14.7
68	8	1008	8-1008	1	15.0	14.8	15.9
69	13	10013	13-10013	1	15.5	15.5	16.9
70	59	10059	59-10059	1	16.5	16.4	16.7
71	4	1004	4-1004	1	12.5	15.1	13.9
72	46	10046	46-10046	2	15.0	15.3	15.3
73	39	10039	39-10039	2	14.7	15.8	16.8
74	14	10014	14-10014	2	17.2	19.0	19.4
75	13	10013	13-10013	2	14.5	16.7	15.6
76	8	1008	8-1008	2	15.4	17.7	18.0
77	26	10026	26-10026	2	15.7	15.3	16.2
78	57	10057	57-10057	2	17.2	17.4	18.6
79	35	10035	35-10035	2	15.5	16.9	17.5
80	333	10333	333-10333	2	16.5	17.6	18.3
81	13	10013	13-10013	2	14.5	15.5	15.1
82	444	10444	444-10444	2	15.0	16.2	15.8
83	46	10046	46-10046	2	15.8	14.6	16.0
84	50	10050	50-10050	2	17.7	18.0	19.4
85	10	10010	10-10010	2	14.0	18.3	17.4
86	13	10013	13-10013	2	14.2	14.3	14.5
87	5	1005	5-1005	2	17.0	14.6	16.7
88	61	10061	61-10061	2	17.8	18.4	19.2
89	26	10026	26-10026	2	15.0	16.0	15.8
90	52	10052	52-10052	2	15.0	15.5	15.4
91	13	10013	13-10013	2	16.8	17.2	17.2
92	4	1004	4-1004	2	17.5	19.0	18.5
93	59	10059	59-10059	2	16.0	15.8	16.8
94	36	10036	36-10036	2	17.0	17.9	18.2
95	21	10021	21-10021	2	16.2	15.6	16.7
96	5	1005	5-1005	2	14.0	13.9	15.2
97	12	10012	12-10012	2	14.4	14.5	14.5
98	21	10021	21-10021	2	16.2	16.4	17.8
99	4	1004	4-1004	2	13.0	13.4	14.3
100	39	10039	39-10039	2	15.2	15.8	16.8
101	11	10011	11-10011	2	15.0	14.8	16.1
102	21	10021	21-10021	2	15.0	15.3	16.1
103	333	10333	333-10333	2	14.9	15.2	15.4
104	12	10012	12-10012	2	14.5	16.2	16.0
105	444	10444	444-10444	2	15.0	15.4	16.1
106	3	1003	3-1003	2	15.2	16.8	17.6
107	61	10061	61-10061	2	17.2	15.4	16.7
108	21	10021	21-10021	2	13.2	13.5	13.4
109	21	10021	21-10021	2	13.2	13.5	14.4
110	30	10030	30-10030	2	14.0	15.8	15.3
111	26	10026	26-10026	2	14.2	17.7	16.0
112	34	10034	34-10034	2	16.7	16.8	18.3
113	5	1005	5-1005	2	15.0	16.0	16.2
114	11	10011	11-10011	2	16.0	16.0	16.7
115	61	10061	61-10061	2	16.2	14.0	16.0
116	11	10011	11-10011	2	14.0	16.2	15.7
117	8	1008	8-1008	2	15.9	16.8	17.2
118	34	10034	34-10034	2	15.2	15.3	16.2
119	21	10021	21-10021	2	16.0	16.0	16.4
120	46	10046	46-10046	3	15.0	15.8	16.9
121	12	10012	12-10012	3	16.2	17.5	17.6
122	59	10059	59-10059	3	14.2	15.8	15.8
123	21	10021	21-10021	3	15.5	17.0	17.4
124	34	10034	34-10034	3	15.5	17.0	17.1
125	40	10040	40-10040	3	13.2	17.6	16.3
126	61	10061	61-10061	3	16.5	19.0	18.3
127	59	10059	59-10059	3	16.5	18.3	18.9
128	232	10232	232-10232	3	16.0	17.5	16.9
129	59	10059	59-10059	3	15.0	16.5	15.9
130	61	10061	61-10061	3	16.2	15.0	17.2
131	232	10232	232-10232	3	17.4	17.0	18.3
132	14	10014	14-10014	3	15.2	18.0	16.6
133	59	10059	59-10059	3	18.0	19.0	20.1
134	39	10039	39-10039	3	15.5	15.9	16.8
135	21	10021	21-10021	3	15.0	16.3	16.0
136	56	10056	56-10056	3	17.5	20.0	19.4
137	3	1003	3-1003	3	14.0	17.4	16.0
138	12	10012	12-10012	3	14.0	14.7	15.7
139	39	10039	39-10039	3	16.0	16.1	17.3
140	10	10010	10-10010	3	15.2	16.2	16.3
141	50	10050	50-10050	3	16.7	18.2	17.6
142	232	10232	232-10232	3	16.6	16.4	18.0
