INDIV	Sire	Dam	FAM	DaysM	Sex	Market
1355	511	677	511-677	763.81	2	1
1356	511	677	511-677	636.55	2	1
1357	511	677	511-677	640.19	2	1
1358	511	677	511-677	671.71	1	1
1359	511	677	511-677	660.33	2	1
1360	511	677	511-677	567.47	2	1
1361	511	677	511-677	722.5	2	1
1362	511	677	511-677	494.51	2	1
1363	511	677	511-677	711.58	2	1
1364	511	677	511-677	610.63	1	1
1365	634	657	634-657	521.94	1	1
1366	634	657	634-657	586.98	2	1
1367	634	657	634-657	560.94	2	1
1368	634	657	634-657	496.48	2	0
1369	634	657	634-657	492.31	1	1
1370	634	657	634-657	507.69	1	1
1371	581	597	581-597	534.86	1	1
1372	581	597	581-597	557.96	2	1
1373	581	597	581-597	479.4	2	1
1374	581	597	581-597	509.4	2	0
1375	581	597	581-597	492.71	2	0
1376	581	597	581-597	464.92	2	0
1377	581	597	581-597	570.48	2	1
1378	699	624	699-624	683.52	1	1
1379	699	624	699-624	613.27	2	1
1380	699	624	699-624	604.67	2	1
1381	699	624	699-624	500.13	1	1
1382	699	624	699-624	555.74	2	1
1383	589	671	589-671	550.34	2	1
1384	589	671	589-671	593.08	2	1
1385	589	671	589-671	551.3	2	1
1386	589	671	589-671	491.02	2	1
1387	589	671	589-671	523.89	1	1
1388	589	671	589-671	518.2	2	1
1389	650	606	650-606	520.9	2	1
1390	650	606	650-606	552.33	2	1
1391	650	606	650-606	492.45	1	0
1392	650	606	650-606	459.99	2	1
1393	650	606	650-606	471.65	2	1
1394	650	606	650-606	477.71	1	0
1395	650	606	650-606	506.65	2	1
1396	650	606	650-606	538.44	1	1
1397	650	606	650-606	443.77	1	0
1398	557	712	557-712	570.22	1	1
1399	557	712	557-712	500.59	1	1
1400	557	712	557-712	625.02	2	1
1401	557	712	557-712	712.62	1	1
1402	557	712	557-712	802.59	1	1
1403	557	712	557-712	789.63	1	1
1404	557	712	557-712	647.54	1	1
1405	557	712	557-712	649.55	1	1
1406	526	558	526-558	694.64	1	1
1407	526	558	526-558	542.09	1	1
1408	526	558	526-558	616.33	2	1
1409	526	558	526-558	683.45	1	1
1410	526	558	526-558	529.3	2	1
1411	526	558	526-558	543.79	2	1
1412	526	558	526-558	586.72	2	1
1413	526	558	526-558	489.33	1	1
1414	526	558	526-558	569.96	2	1
1415	526	558	526-558	495.97	2	1
1416	526	558	526-558	555.69	2	1
1417	526	558	526-558	509.4	2	1
1418	510	648	510-648	480.37	2	0
1419	510	648	510-648	463.52	2	1
1420	510	648	510-648	533.86	2	1
1421	510	648	510-648	470.32	2	0
1422	510	648	510-648	527.25	2	0
1423	510	648	510-648	565.07	2	1
1424	510	648	510-648	517.69	2	1
1425	502	681	502-681	441.12	1	0
