REP	FAMILY	FEMALE	MALE	YIELD	CHECKLOT
15	FAM144	PAR0054	PAR0059	190.124	0
15	FAM075	PAR0038	PAR0057	312.719	0
15	FAM146	PAR0055	PAR0047	153.769	0
15	FAM149	PAR0056	PAR0008	334.916	0
15	FAM121	PAR0051	PAR0061	291.241	0
15	FAM115	PAR0051	PAR0004	151.648	0
15	FAM107	PAR0049	PAR0005	152.79	0
15	FAM087	PAR0045	PAR0024	267.201	0
15	FAM017	PAR0003	PAR0006	293.801	0
16	FAM039	PAR0020	PAR0024	138.273	0
16	FAM161	PAR0059	PAR0021	173.724	0
16	FAM057	PAR0033	PAR0035	419.802	0
16	C4	C4	C4	233.304	1
16	FAM042	PAR0024	PAR0024	292.175	0
16	FAM159	PAR0059	PAR0008	152.556	0
16	FAM086	PAR0045	PAR0020	236.364	0
16	FAM005	PAR0004	PAR0001	341.356	0
16	FAM093	PAR0046	PAR0024	232.661	0
16	FAM057	PAR0035	PAR0033	102.123	0
16	FAM007	PAR0001	PAR0024	199.032	0
16	FAM013	PAR0038	PAR0002	190.083	0
16	FAM162	PAR0059	PAR0025	225.4	0
16	FAM160	PAR0059	PAR0009	267.289	0
16	FAM009	PAR0001	PAR0061	244.223	0
16	FAM163	PAR0059	PAR0041	156.098	0
16	C2	C2	C2	174.843	1
16	FAM041	PAR0026	PAR0022	277.326	0
16	FAM004	PAR0001	PAR0001	74.33	0
16	FAM026	PAR0006	PAR0022	324.924	0
16	FAM059	PAR0034	PAR0034	190.059	0
16	FAM102	PAR0047	PAR0047	70.791	0
16	C1	C1	C1	163.898	1
16	FAM142	PAR0054	PAR0021	163.409	0
16	FAM056	PAR0033	PAR0033	65.596	0
16	FAM103	PAR0047	PAR0060	408.705	0
16	FAM001	PAR0021	PAR0025	194.059	0
16	FAM140	PAR0054	PAR0008	258.657	0
16	FAM037	PAR0039	PAR0019	116.616	0
16	FAM028	PAR0007	PAR0025	353.584	0
16	FAM073	PAR0038	PAR0048	209.424	0
16	FAM087	PAR0045	PAR0024	256.76	0
16	FAM116	PAR0051	PAR0010	262.124	0
16	FAM002	PAR0045	PAR0046	204.639	0
16	FAM060	PAR0034	PAR0037	295.998	0
16	FAM170	PAR0045	PAR0063	165.762	0
16	FAM132	PAR0053	PAR0008	360.248	0
16	FAM080	PAR0044	PAR0003	108.655	0
16	FAM038	PAR0020	PAR0017	222.671	0
16	FAM144	PAR0054	PAR0059	349.547	0
16	FAM090	PAR0046	PAR0001	325.613	0
16	FAM119	PAR0051	PAR0024	216.134	0
16	FAM015	PAR0002	PAR0050	250.309	0
16	FAM030	PAR0009	PAR0028	242.567	0
16	FAM085	PAR0045	PAR0004	334.376	0
16	FAM062	PAR0034	PAR0061	268.372	0
16	FAM083	PAR0044	PAR0026	353.953	0
16	FAM152	PAR0059	PAR0056	232.193	0
16	FAM065	PAR0036	PAR0047	238.567	0
16	FAM075	PAR0038	PAR0057	183.043	0
16	FAM010	PAR0002	PAR0009	319.767	0
16	FAM094	PAR0046	PAR0046	44.126	0
16	FAM101	PAR0047	PAR0026	319.523	0
16	FAM078	PAR0039	PAR0035	183.718	0
16	FAM033	PAR0011	PAR0020	339.041	0
16	FAM145	PAR0054	PAR0061	240.986	0
16	FAM050	PAR0031	PAR0032	283.589	0
16	FAM053	PAR0032	PAR0032	69.25	0
16	FAM173	PAR0064	PAR0051	81.437	0
16	FAM022	PAR0004	PAR0024	218.942	0
16	FAM013	PAR0002	PAR0038	228.266	0
16	FAM153	PAR0058	PAR0001	277.591	0
16	FAM014	PAR0002	PAR0048	333.171	0
16	FAM066	PAR0049	PAR0036	287.099	0
16	FAM025	PAR0006	PAR0006	9.359	0
16	FAM069	PAR0037	PAR0037	98.226	0
16	C3	C3	C3	77.391	1
16	FAM155	PAR0058	PAR0051	256.76	0
16	FAM131	PAR0053	PAR0007	145.119	0
16	FAM079	PAR0039	PAR0061	160.315	0
16	FAM043	PAR0024	PAR0053	202.109	0
16	FAM060	PAR0037	PAR0034	208.863	0
16	FAM104	PAR0047	PAR0061	224.486	0
16	FAM034	PAR0012	PAR0003	329.181	0
16	FAM120	PAR0051	PAR0051	78.619	0
16	FAM066	PAR0036	PAR0049	230.854	0
16	FAM096	PAR0047	PAR0003	163.074	0
16	FAM113	PAR0050	PAR0057	196.111	0
16	FAM128	PAR0052	PAR0044	195.091	0
16	FAM020	PAR0003	PAR0026	66.311	0
16	FAM055	PAR0032	PAR0061	154.562	0
16	FAM148	PAR0056	PAR0007	327.951	0
16	FAM088	PAR0045	PAR0051	171.536	0
16	FAM154	PAR0058	PAR0004	318.445	0
16	FAM121	PAR0051	PAR0061	90.823	0
16	FAM021	PAR0004	PAR0020	229.857	0
16	FAM018	PAR0003	PAR0022	115.026	0
16	FAM134	PAR0053	PAR0021	88.129	0
16	FAM089	PAR0045	PAR0058	236.19	0
16	FAM036	PAR0013	PAR0021	243.427	0
16	FAM076	PAR0039	PAR0027	151.796	0
16	FAM032	PAR0009	PAR0061	236.19	0
16	FAM061	PAR0034	PAR0040	155.354	0
16	C40	C40	C40	170.256	1
16	FAM016	PAR0002	PAR0057	173.032	0
16	FAM129	PAR0052	PAR0047	106.922	0
16	FAM114	PAR0051	PAR0001	197.92	0
16	FAM172	PAR0064	PAR0020	236.695	0
16	FAM111	PAR0049	PAR0060	68.722	0
16	FAM035	PAR0012	PAR0047	293.869	0
16	FAM048	PAR0031	PAR0018	270.462	0
16	FAM070	PAR0037	PAR0040	261.407	0
16	FAM115	PAR0051	PAR0004	171.444	0
16	FAM081	PAR0044	PAR0005	157.771	0
16	FAM138	PAR0053	PAR0061	158.69	0
16	FAM157	PAR0059	PAR0002	171.913	0
16	FAM117	PAR0051	PAR0013	222.243	0
16	FAM063	PAR0035	PAR0029	139.455	0
16	C10	C10	C10	130.072	1
16	FAM001	PAR0025	PAR0021	161.154	0
16	FAM169	PAR0015	PAR0024	263.816	0
16	FAM091	PAR0046	PAR0004	257.223	0
16	FAM106	PAR0048	PAR0057	341.418	0
16	FAM164	PAR0059	PAR0042	223.132	0
16	FAM068	PAR0036	PAR0060	150.026	0
16	FAM130	PAR0053	PAR0002	233.297	0
16	FAM137	PAR0053	PAR0059	183.505	0
16	FAM084	PAR0045	PAR0001	209.04	0
16	FAM092	PAR0046	PAR0020	190.385	0
16	FAM039	PAR0024	PAR0020	194.95	0
16	FAM045	PAR0025	PAR0052	207.18	0
16	FAM165	PAR0059	PAR0059	52.056	0
16	FAM071	PAR0037	PAR0061	159.467	0
16	FAM112	PAR0050	PAR0050	40.028	0
16	FAM166	PAR0059	PAR0061	173.957	0
16	FAM158	PAR0059	PAR0007	158.501	0
16	FAM054	PAR0032	PAR0052	149.013	0
16	FAM061	PAR0040	PAR0034	213.628	0
16	FAM124	PAR0052	PAR0006	85.758	0
16	FAM052	PAR0032	PAR0018	301.593	0
16	FAM082	PAR0044	PAR0006	163.409	0
16	FAM031	PAR0009	PAR0030	175.773	0
16	FAM118	PAR0051	PAR0020	150.043	0
16	FAM050	PAR0032	PAR0031	194.616	0
16	FAM099	PAR0047	PAR0022	190.337	0
16	FAM011	PAR0002	PAR0021	94.459	0
16	FAM095	PAR0046	PAR0058	252.721	0
16	FAM023	PAR0004	PAR0027	354.897	0
16	FAM046	PAR0031	PAR0029	133.162	0
16	FAM047	PAR0031	PAR0016	341.853	0
16	FAM110	PAR0049	PAR0055	269.619	0
16	FAM147	PAR0055	PAR0060	272.188	0
16	FAM167	PAR0060	PAR0060	109.244	0
16	FAM150	PAR0056	PAR0009	236.116	0
16	FAM058	PAR0033	PAR0061	108.947	0
16	FAM005	PAR0001	PAR0004	242.027	0
16	FAM152	PAR0056	PAR0059	172.106	0
16	FAM067	PAR0036	PAR0055	149.923	0
16	FAM077	PAR0039	PAR0029	92.898	0
16	FAM135	PAR0053	PAR0025	271.835	0
16	FAM017	PAR0006	PAR0003	178.623	0
16	FAM074	PAR0038	PAR0050	158.297	0
16	FAM027	PAR0006	PAR0023	132.74	0
16	FAM168	PAR0009	PAR0008	269.466	0
16	FAM012	PAR0002	PAR0028	131.666	0
16	FAM040	PAR0020	PAR0053	312.719	0
16	FAM151	PAR0056	PAR0056	75.684	0
16	FAM008	PAR0001	PAR0027	120.637	0
16	FAM125	PAR0052	PAR0022	196.557	0
16	FAM098	PAR0047	PAR0006	147.524	0
16	FAM107	PAR0049	PAR0005	284.191	0
16	FAM146	PAR0055	PAR0047	266.093	0
16	FAM123	PAR0052	PAR0005	121.271	0
16	FAM006	PAR0001	PAR0020	181.458	0
16	FAM017	PAR0003	PAR0006	204.076	0
16	FAM108	PAR0049	PAR0047	162.012	0
16	FAM051	PAR0031	PAR0061	243.285	0
16	FAM109	PAR0049	PAR0049	68.164	0
16	FAM149	PAR0056	PAR0008	161.296	0
16	FAM072	PAR0038	PAR0038	21.941	0
16	FAM049	PAR0031	PAR0031	58.576	0
16	C30	C30	C30	140.728	1
16	FAM044	PAR0025	PAR0044	181.424	0
16	FAM029	PAR0008	PAR0030	141.087	0
16	FAM070	PAR0040	PAR0037	236.503	0
16	FAM100	PAR0047	PAR0023	187.209	0
16	FAM126	PAR0052	PAR0023	174.557	0
16	FAM024	PAR0004	PAR0061	195.035	0
16	FAM143	PAR0054	PAR0056	106.253	0
16	FAM141	PAR0054	PAR0009	270.827	0
16	FAM133	PAR0053	PAR0009	203.308	0
16	FAM122	PAR0052	PAR0003	281.445	0
16	FAM136	PAR0053	PAR0054	135.074	0
16	FAM127	PAR0052	PAR0026	139.825	0
16	FAM019	PAR0003	PAR0023	173.898	0
16	C20	C20	C20	172.57	1
16	FAM003	PAR0044	PAR0047	246.874	0
16	FAM171	PAR0064	PAR0014	88.746	0
16	FAM139	PAR0054	PAR0007	254.062	0
16	FAM105	PAR0048	PAR0050	153.53	0
16	FAM113	PAR0057	PAR0050	151.533	0
16	FAM064	PAR0035	PAR0061	188.162	0
16	FAM156	PAR0058	PAR0061	144.311	0
16	FAM097	PAR0047	PAR0005	191.929	0
16	FAM103	PAR0060	PAR0047	105.44	0
17	FAM135	PAR0053	PAR0025	170.256	0
17	FAM059	PAR0034	PAR0034	80.967	0
17	FAM001	PAR0025	PAR0021	160.352	0
17	FAM038	PAR0020	PAR0017	137.701	0
17	FAM161	PAR0059	PAR0021	112.769	0
17	FAM108	PAR0049	PAR0047	139.502	0
17	FAM171	PAR0064	PAR0014	193.12	0
17	FAM160	PAR0059	PAR0009	197.434	0
17	FAM077	PAR0039	PAR0029	117.273	0
17	FAM082	PAR0044	PAR0006	234.519	0
17	FAM003	PAR0044	PAR0047	213.441	0
17	FAM103	PAR0060	PAR0047	26.859	0
17	FAM070	PAR0037	PAR0040	173.942	0
17	FAM111	PAR0049	PAR0060	116.156	0
17	FAM039	PAR0020	PAR0024	186.797	0
17	FAM032	PAR0009	PAR0061	182.692	0
17	FAM142	PAR0054	PAR0021	227.722	0
17	FAM097	PAR0047	PAR0005	235.983	0
17	FAM095	PAR0046	PAR0058	179.432	0
17	FAM091	PAR0046	PAR0004	214.418	0
17	FAM099	PAR0047	PAR0022	137.792	0
17	FAM058	PAR0033	PAR0061	242.018	0
17	FAM141	PAR0054	PAR0009	157.813	0
17	FAM103	PAR0047	PAR0060	164.827	0
17	C40	C40	C40	189.144	1
17	FAM129	PAR0052	PAR0047	249.338	0
