INDIV	FEMALE	MALE
900	FEM16	0
901	FEM28	0
902	FEM28	0
903	FEM28	0
904	FEM28	0
905	FEM28	0
906	FEM28	0
907	C3	0
908	C3	0
909	C3	0
910	C3	0
911	C3	0
912	C3	0
913	FEM7	0
914	FEM7	0
915	FEM7	0
916	FEM7	0
917	FEM7	0
918	FEM7	0
919	FEM13	0
920	FEM13	0
921	FEM13	0
922	FEM13	0
923	FEM13	0
924	FEM13	0
925	FEM22	0
926	FEM22	0
927	FEM22	0
928	FEM22	0
929	FEM22	0
930	FEM22	0
931	FEM8	0
932	FEM8	0
933	FEM8	0
934	FEM8	0
935	FEM8	0
936	FEM8	0
937	FEM11	0
938	FEM11	0
939	FEM11	0
940	FEM11	0
941	FEM11	0
942	FEM11	0
943	FEM25	0
944	FEM25	0
945	FEM25	0
946	FEM25	0
947	FEM25	0
948	FEM25	0
949	FEM14	0
950	FEM14	0
951	FEM14	0
952	FEM14	0
953	FEM14	0
954	FEM14	0
955	C2	0
956	C2	0
957	C2	0
958	C2	0
959	C2	0
960	C2	0
961	FEM5	0
962	FEM5	0
963	FEM5	0
964	FEM5	0
965	FEM5	0
966	FEM5	0
967	FEM4	0
968	FEM4	0
969	FEM4	0
970	FEM4	0
971	FEM4	0
972	FEM4	0
973	C3	0
974	C3	0
975	C3	0
976	C3	0
977	C3	0
978	C3	0
979	FEM19	0
980	FEM19	0
981	FEM19	0
982	FEM19	0
983	FEM19	0
984	FEM19	0
985	FEM1	0
986	FEM1	0
987	FEM1	0
988	FEM1	0
989	FEM1	0
990	FEM1	0
991	FEM12	0
992	FEM12	0
993	FEM12	0
994	FEM12	0
995	FEM12	0
996	FEM12	0
997	C1	0
998	C1	0
999	C1	0
1000	C1	0
1001	C1	0
1002	C1	0
1003	FEM24	0
1004	FEM24	0
1005	FEM24	0
1006	FEM24	0
1007	FEM24	0
1008	FEM24	0
1009	FEM21	0
1010	FEM21	0
1011	FEM21	0
1012	FEM21	0
1013	FEM21	0
1014	FEM21	0
1015	FEM20	0
1016	FEM20	0
1017	FEM20	0
1018	FEM20	0
1019	FEM20	0
1020	FEM20	0
1021	FEM19	0
1022	FEM19	0
1023	FEM19	0
1024	FEM19	0
1025	FEM19	0
1026	FEM19	0
1027	FEM8	0
1028	FEM8	0
1029	FEM8	0
1030	FEM8	0
1031	FEM8	0
1032	FEM8	0
1033	FEM11	0
1034	FEM11	0
1035	FEM11	0
1036	FEM11	0
1037	FEM11	0
1038	FEM11	0
1039	C2	0
1040	C2	0
1041	C2	0
1042	C2	0
1043	C2	0
1044	C2	0
1045	FEM3	0
1046	FEM3	0
1047	FEM3	0
1048	FEM3	0
1049	FEM3	0
1050	FEM3	0
1051	FEM16	0
1052	FEM16	0
1053	FEM16	0
1054	FEM16	0
1055	FEM16	0
1056	FEM16	0
1057	FEM27	0
1058	FEM27	0
1059	FEM27	0
1060	FEM27	0
1061	FEM27	0
1062	FEM27	0
1063	FEM22	0
1064	FEM22	0
1065	FEM22	0
1066	FEM22	0
1067	FEM22	0
1068	FEM22	0
1069	C1	0
1070	C1	0
1071	C1	0
1072	C1	0
1073	C1	0
1074	C1	0
1075	FEM17	0
1076	FEM17	0
1077	FEM17	0
1078	FEM17	0
1079	FEM17	0
1080	FEM17	0
1081	FEM6	0
1082	FEM6	0
1083	FEM6	0
1084	FEM6	0
1085	FEM6	0
1086	FEM6	0
1087	FEM24	0
1088	FEM24	0
1089	FEM24	0
1090	FEM24	0
1091	FEM24	0
1092	FEM24	0
1093	FEM14	0
1094	FEM14	0
1095	FEM14	0
1096	FEM14	0
1097	FEM14	0
1098	FEM14	0
1099	C3	0
1100	C3	0
1101	C3	0
1102	C3	0
1103	C3	0
1104	C3	0
1105	FEM1	0
1106	FEM1	0
1107	FEM1	0
1108	FEM1	0
1109	FEM1	0
1110	FEM1	0
1111	FEM28	0
1112	FEM28	0
1113	FEM28	0
1114	FEM28	0
1115	FEM28	0
1116	FEM28	0
1117	FEM9	0
1118	FEM9	0
1119	FEM9	0
1120	FEM9	0
1121	FEM9	0
1122	FEM9	0
1123	FEM23	0
1124	FEM23	0
1125	FEM23	0
1126	FEM23	0
1127	FEM23	0
1128	FEM23	0
1129	C2	0
1130	C2	0
1131	C2	0
1132	C2	0
1133	C2	0
1134	C2	0
1135	FEM5	0
1136	FEM5	0
1137	FEM5	0
1138	FEM5	0
1139	FEM5	0
1140	FEM5	0
1141	FEM15	0
1142	FEM15	0
1143	FEM15	0
1144	FEM15	0
1145	FEM15	0
1146	FEM15	0
1147	FEM26	0
1148	FEM26	0
1149	FEM26	0
1150	FEM26	0
1151	FEM26	0
1152	FEM26	0
1153	FEM4	0
1154	FEM4	0
1155	FEM4	0
1156	FEM4	0
1157	FEM4	0
1158	FEM4	0
1159	FEM13	0
1160	FEM13	0
1161	FEM13	0
1162	FEM13	0
1163	FEM13	0
1164	FEM13	0
1165	FEM12	0
1166	FEM12	0
1167	FEM12	0
1168	FEM12	0
1169	FEM12	0
1170	FEM12	0
1171	FEM2	0
1172	FEM2	0
1173	FEM2	0
1174	FEM2	0
1175	FEM2	0
1176	FEM2	0
1177	FEM21	0
1178	FEM21	0
1179	FEM21	0
1180	FEM21	0
1181	FEM21	0
1182	FEM21	0
1183	C1	0
1184	C1	0
1185	C1	0
1186	C1	0
1187	C1	0
1188	C1	0
1189	FEM10	0
1190	FEM10	0
1191	FEM10	0
1192	FEM10	0
1193	FEM10	0
1194	FEM10	0
1195	FEM7	0
1196	FEM7	0
1197	FEM7	0
1198	FEM7	0
1199	FEM7	0
