INDIV	REP	PLOT	FEMALE	TYPE	DBH	HT
475	3	80	FEM23	Test	21.3	12.2
476	3	80	FEM23	Test	22.3	11.1
477	3	80	FEM23	Test	14.8	8.8
478	3	80	FEM23	Test	25.4	13.4
479	3	80	FEM23	Test	22.1	11.4
480	3	80	FEM23	Test	18.2	9.3
481	3	81	C3	Control	20.9	9.7
482	3	81	C3	Control	22.7	11.2
483	3	81	C3	Control	18.4	9.6
484	3	81	C3	Control	19.1	11.4
485	3	81	C3	Control	24.1	12.1
486	3	81	C3	Control	24.8	11.1
487	3	82	FEM6	Test	NA	NA
488	3	82	FEM6	Test	NA	NA
489	3	82	FEM6	Test	NA	NA
490	3	82	FEM6	Test	22.5	12.3
491	3	82	FEM6	Test	24.2	13.6
492	3	82	FEM6	Test	20.9	13.1
493	3	83	FEM5	Test	23.5	12.7
494	3	83	FEM5	Test	22.7	10.9
495	3	83	FEM5	Test	23.7	9.2
496	3	83	FEM5	Test	23.2	12
497	3	83	FEM5	Test	23.3	12.2
498	3	83	FEM5	Test	18.5	9.8
499	3	84	FEM15	Test	18.9	10.3
500	3	84	FEM15	Test	23.1	11.6
501	3	84	FEM15	Test	22.2	11.8
502	3	84	FEM15	Test	21.6	10.4
503	3	84	FEM15	Test	24.6	13.7
504	3	84	FEM15	Test	NA	NA
505	3	85	FEM9	Test	22.2	11.3
506	3	85	FEM9	Test	20.5	10.7
507	3	85	FEM9	Test	20.4	10.6
508	3	85	FEM9	Test	18.6	9.5
509	3	85	FEM9	Test	21.8	10.4
510	3	85	FEM9	Test	21.2	10.6
511	3	86	C2	Control	24.4	13.5
512	3	86	C2	Control	22.5	11.9
513	3	86	C2	Control	21.6	12.6
514	3	86	C2	Control	23.8	12.2
515	3	86	C2	Control	23.5	13.1
516	3	86	C2	Control	26.9	13.6
517	3	87	FEM26	Test	23	12.1
518	3	87	FEM26	Test	22.9	12.5
519	3	87	FEM26	Test	21.8	11.3
520	3	87	FEM26	Test	22.1	12.8
521	3	87	FEM26	Test	22.9	11.7
522	3	87	FEM26	Test	20.7	11.8
523	3	88	FEM12	Test	22.5	11.8
524	3	88	FEM12	Test	23.6	12.7
525	3	88	FEM12	Test	24.9	12.8
526	3	88	FEM12	Test	23.7	12.1
527	3	88	FEM12	Test	21.6	12.6
528	3	88	FEM12	Test	23.9	11.8
529	3	89	FEM16	Test	22.7	11.8
530	3	89	FEM16	Test	22.1	12.1
531	3	89	FEM16	Test	21.2	12.7
532	3	89	FEM16	Test	23.3	13.7
533	3	89	FEM16	Test	21.2	11.9
534	3	89	FEM16	Test	24.6	12.9
535	3	90	FEM1	Test	18.9	9.9
536	3	90	FEM1	Test	20.2	10.3
537	3	90	FEM1	Test	23.6	11.6
538	3	90	FEM1	Test	22	11.4
539	3	90	FEM1	Test	20.1	11.1
540	3	90	FEM1	Test	18.2	11.2
541	3	91	FEM22	Test	22.1	11.1
542	3	91	FEM22	Test	21.7	10.9
543	3	91	FEM22	Test	15.7	11.1
544	3	91	FEM22	Test	22.2	11.2
545	3	91	FEM22	Test	22.1	12.1
546	3	91	FEM22	Test	23	11.8
547	3	92	FEM18	Test	24.5	12.3
548	3	92	FEM18	Test	25.7	12.9
549	3	92	FEM18	Test	18.9	10.3
550	3	92	FEM18	Test	23.1	10.3
551	3	92	FEM18	Test	20.6	11.2
552	3	92	FEM18	Test	16.7	9.7
553	3	93	FEM19	Test	25.3	11.9
554	3	93	FEM19	Test	23.3	13.2
555	3	93	FEM19	Test	11.3	7.2
556	3	93	FEM19	Test	19.1	11.1
557	3	93	FEM19	Test	23.2	12.6
558	3	93	FEM19	Test	21.3	11.2
559	3	94	FEM14	Test	14.7	9.4
560	3	94	FEM14	Test	20.5	10.3
561	3	94	FEM14	Test	14.3	10.8
562	3	94	FEM14	Test	NA      NA	
563	3	94	FEM14	Test	19.8	8.9
564	3	94	FEM14	Test	26.3	13.8
565	3	95	FEM24	Test	19.6	10.5
566	3	95	FEM24	Test	21.6	10.6
567	3	95	FEM24	Test	21.7	10.3
568	3	95	FEM24	Test	20.6	10.2
569	3	95	FEM24	Test	19.8	10.5
570	3	95	FEM24	Test	20.8	10.8
571	3	96	C1	Control	19.1	9.5
572	3	96	C1	Control	14.1	8.4
573	3	96	C1	Control	26.1	11.6
574	3	96	C1	Control	21.4	10.7
575	3	96	C1	Control	23.2	10.5
576	3	96	C1	Control	15.6	8.2
577	3	97	FEM27	Test	21.1	12.1
578	3	97	FEM27	Test	20.3	10.4
579	3	97	FEM27	Test	23.5	12.8
580	3	97	FEM27	Test	25.1	12.5
581	3	97	FEM27	Test	NA	NA
582	3	97	FEM27	Test	22.5	11.9
583	3	98	FEM3	Test	22.3	12.3
584	3	98	FEM3	Test	20.8	10.7
585	3	98	FEM3	Test	17.7	9.7
